sample,label,weight
Hemo_predi/Data_pk/pc6/8DL49zs_both_/13835.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/15105.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/16216.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/5801.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/11303.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/16015.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/4935.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/4838.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/4576.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/18433.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/13819.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/18432.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/15104.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/12139.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/17985.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/5137.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/1978.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/1422.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/10467.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/17119.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/14267.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/3489.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/2426.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/16220.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/4776.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/11304.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/2206.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/6842.pickle,1,1.0
Hemo_predi/Data_pk/pc6/8DL49zs_both_/1127.pickle,1,1.0
